modello,priorita,articolo,attivita,operazione
14854,J,S010-001297SL,AL_GENERALOTTO,0010
14854,J,S010-001297SL,AC,0020
14854,J,S010-001297SL,ASC,0030
14855,J,S010-000403SL,AL_GENERALOTTO,0010
14855,J,S010-000403SL,AC,0020
14855,J,S010-000403SL,ASC,0030
14858,J,S010-000948SL,AL_GENERALOTTO,0010
14858,J,S010-000948SL,AC,0020
14858,J,S010-000948SL,ASC,0030
14863,J,F010-000948,AL_GENERALOTTO,0010
14863,J,F010-000948,AC,0020
14863,J,F010-000948,ASC,0030
14863,J,F010-000948,AV,0040
14864,J,F010-001121,AL_GENERALOTTO,0010
14864,J,F010-001121,AC,0020
14864,J,F010-001121,ASC,0030
14864,J,F010-001121,AV,0040
14866,J,F010-001187,AL_GENERALOTTO,0010
14866,J,F010-001187,AC,0020
14866,J,F010-001187,ASC,0030
14866,J,F010-001187,AV,0040
14867,J,F010-000403,AL_GENERALOTTO,0010
14867,J,F010-000403,AC,0020
14867,J,F010-000403,ASC,0030
14867,J,F010-000403,AV,0040
14868,J,F010-000877,AL_GENERALOTTO,0010
14868,J,F010-000877,AC,0020
14868,J,F010-000877,ASC,0030
14868,J,F010-000877,AV,0040
14869,J,S010-000078SL,AL_GENERALOTTO,0010
14869,J,S010-000078SL,AC,0020
14869,J,S010-000078SL,ASC,0030
14873,J,F010-000078,AL_GENERALOTTO,0010
14873,J,F010-000078,AC,0020
14873,J,F010-000078,ASC,0030
14873,J,F010-000078,AV,0040
14874,J,F010-000899,AL_GENERALOTTO,0010
14874,J,F010-000899,AC,0020
14874,J,F010-000899,ASC,0030
14874,J,F010-000899,AV,0040
14875,A,F010-000643,AL_GENERALOTTO,0010
14875,A,F010-000643,AC,0020
14875,A,F010-000643,ASC,0030
14875,A,F010-000643,AW,0040
14876,J,F010-001183,AL_GENERALOTTO,0010
14876,J,F010-001183,AC,0020
14876,J,F010-001183,ASC,0030
14876,J,F010-001183,AV,0040
14928,J,F010-001298,AL_GENERALOTTO,0010
14928,J,F010-001298,AC,0020
14928,J,F010-001298,ASC,0030
14928,J,F010-001298,AV,0040
14988,J,F010-000446,AL_GENERALOTTO,0010
14988,J,F010-000446,AC,0020
14988,J,F010-000446,ASC,0030
14988,J,F010-000446,AV,0040
14992,J,F010-001170,AL_GENERALOTTO,0010
14992,J,F010-001170,AC,0020
14992,J,F010-001170,ASC,0030
14992,J,F010-001170,AV,0040
14995,J,F010-001238,AL_GENERALOTTO,0010
14995,J,F010-001238,AC,0020
14995,J,F010-001238,ASC,0030
14995,J,F010-001238,AV,0040
14997,J,F010-001195,AL_GENERALOTTO,0010
14997,J,F010-001195,AC,0020
14997,J,F010-001195,ASC,0030
14997,J,F010-001195,AV,0040
14999,J,F010-001343,AL_GENERALOTTO,0010
14999,J,F010-001343,AC,0020
14999,J,F010-001343,ASC,0030
14999,J,F010-001343,AV,0040
15005,J,F010-001334,AL_GENERALOTTO,0010
15005,J,F010-001334,AC,0020
15005,J,F010-001334,ASC,0030
15005,J,F010-001334,AV,0040
15059,J,F010-000894,AL_GENERALOTTO,0010
15059,J,F010-000894,AC,0020
15059,J,F010-000894,AC,0030
15059,J,F010-000894,AC,0040
